,web-scraper-order,brand,name_details_raw,ps,km,reg_year,price,gear_type,ps_cat,fuel_type_benzin,fuel_type_diesel,fuel_type_elektro,address,lat,lon
231,1704382558-290,LAND,Range Rover Sport 3.0 SDV6 HSE Automatic,306.0,72500.0,2017.0,42500,Automat,250 - 599,0,1,0,"Rhynerstrasse 56, 8712 Stäfa",47.24648284912109,8.73927116394043
232,1704382564-291,MERCEDES-BENZ,GLB 220 d 4Matic 8G-Tronic,190.0,900.0,2023.0,63900,Automat,0 - 249,0,1,0,"Mülligerstrasse, 5210 Windisch",47.47771835327149,8.22193717956543
234,1704382578-296,ALFA,Stelvio 2.0 Sprint Q4 Q4 Automatic,200.0,11900.0,2022.0,46900,Automat,0 - 249,1,0,0,"Av Grand Champsec, 1950 Sion",46.229530334472656,7.382593631744385
235,1704382580-297,ALFA,Stelvio 2.2 JTDM Super Q4 Automatic,210.0,61000.0,2018.0,28900,Automat,0 - 249,0,1,0,"Av Grand Champsec, 1950 Sion",46.229530334472656,7.382593631744385
236,1704382582-298,JEEP,Cherokee 2.8 CRD Extreme Sport,163.0,250000.0,2006.0,2800,Automat,0 - 249,0,1,0,"Route de Sullens 9, 1303 Penthaz VD",46.597469329833984,6.542710781097412
238,1704382593-301,VW,Golf 2.0 TFSI GTI,200.0,192000.0,2005.0,7400,Manuell,0 - 249,1,0,0,"Herferswil 60, 8932 Mettmenstetten",47.25375747680664,8.489367485046387
239,1704382595-302,PEUGEOT,208 1.2 PureTech GT Pack EAT8,100.0,11600.0,2022.0,24900,Automat,0 - 249,1,0,0,"Route de Chandolan 6, 1752 Villars-sur-Glâne 1",46.8013916015625,7.119614124298096
240,1704382597-303,MINI,Clubman Cooper S Steptronic,192.0,142000.0,2017.0,12900,Automat,0 - 249,1,0,0,"Giessereistrasse 3, 8620 Wetzikon",47.32635498046875,8.784595489501953
242,1704382602-305,RENAULT,Clio Grandtour 1.2 16V Turbo Dynamique,101.0,190000.0,2008.0,2900,Manuell,0 - 249,1,0,0,"Klausmattstrasse 1, 6038 Gisikon LU",47.12247085571289,8.396854400634766
244,1704382608-307,TOYOTA,Proace City Van 1.2 Active Medium,110.0,21995.0,2022.0,20700,Manuell,0 - 249,1,0,0,"Cholholz 38, 3178 Bösingen",46.88836669921875,7.220738410949707
246,1704382613-309,VW,Touran 1.4 TSI Trendline,140.0,134800.0,2007.0,3300,Manuell,0 - 249,1,0,0,"64 Route de Montfleury, 1214 Vernier",46.21688461303711,6.070308208465576
247,1704382615-310,NISSAN,Juke 1.0 DIG-T tekna DCT,117.0,57300.0,2021.0,22700,Automat,0 - 249,1,0,0,"Zürcherstrasse 232, 8953 Dietikon",47.39705657958984,8.424476623535156
249,1704382623-312,SUBARU,2.5 Turbo 4WD WRX STI Sport,301.0,33000.0,2011.0,38500,Manuell,250 - 599,1,0,0,"Bernstrasse 5, 3365 Seeberg",47.157039642333984,7.662407875061035
250,1704382626-313,CITROEN,Jumpy 2.0 HDi L2H1 Attraction,128.0,64500.0,2013.0,14900,Manuell,0 - 249,0,1,0,"Hauptstrasse 75, 8362 Balterswil",47.45747756958008,8.944939613342285
251,1704382631-315,CITROEN,C5 Aircross 1.6i PureTech Shine EAT8,181.0,90000.0,2019.0,21900,Automat,0 - 249,1,0,0,"Via San Gottardo 120, 6500 Bellinzona",46.20896911621094,9.038769721984863
252,1704382634-316,CITROEN,C4 1.2 Pure Tech Shine EAT8,131.0,43200.0,2021.0,29900,Automat,0 - 249,1,0,0,"Vorhard 20, 5312 Döttingen",47.55602264404297,8.249497413635254
253,1704382636-317,FERRARI,F8 Spider,720.0,7600.0,2021.0,379000,Automat,600 - 1500,1,0,0,"Via Pian Scairolo 26, 6915 Pambio Noranco",45.98479843139648,8.930482864379883
254,1704382639-318,TOYOTA,RAV-4 2.0 16V Linea Sol,150.0,200000.0,2001.0,3900,Manuell,0 - 249,1,0,0,"Alpsteinstrasse 56, 9100 Herisau",47.372520446777344,9.281729698181152
256,1704382652-322,DACIA,Duster TCe 150 Extreme EDC 4x2,150.0,500.0,2023.0,26590,Automat,0 - 249,1,0,0,"Luzernerstrasse 57, 6030 Ebikon",47.0713005065918,8.323710441589355
258,1704382659-325,NISSAN,Micra 0.9 IG-T Bose Personal Edition,90.0,97600.0,2018.0,13700,Manuell,0 - 249,1,0,0,"via Chiasso 21b, 6710 Biasca",46.3426628112793,8.97638988494873
260,1704382664-327,SKODA,Octavia Combi 2.0 TDI RS 4x4 DSG,184.0,182000.0,2016.0,13900,Automat,0 - 249,0,1,0,"Av. de la Plantaud 112, 1870 Monthey, 1870 Monthey",46.251075744628906,6.962816715240479
262,1704382669-329,VW,Touran 2.0 FSI Highline,150.0,191000.0,2004.0,1990,Manuell,0 - 249,1,0,0,"Oltenstrasse 26, 4702 Oensingen",47.290340423583984,7.729240894317627
268,1704382690-336,HYUNDAI,Getz 1.6 Style,106.0,78000.0,2007.0,2300,Manuell,0 - 249,1,0,0,"Burgholz 40, 3753 Oey",46.66598129272461,7.602039337158203
271,1704382697-339,MAZDA,2 1.5i 16V City2 Automatic,103.0,118500.0,2009.0,7900,Automat,0 - 249,1,0,0,"Via Sonvico 3a, 6948 Porza",46.0255241394043,8.963134765625
272,1704382700-340,PEUGEOT,207 SW 1.6 16V Sport,120.0,152000.0,2009.0,1000,Manuell,0 - 249,1,0,0,"Route de Sullens 9, 1303 Penthaz VD",46.597469329833984,6.542710781097412
273,1704382711-343,SKODA,Octavia Combi 2.0 TDI RS,184.0,197600.0,2015.0,11500,Manuell,0 - 249,0,1,0,"St. Gallerstrasse 7, 8352 Elsau ZH",47.49910354614258,8.809943199157715
275,1704382715-345,BENTLEY,Continental GT 4.0 V8,507.0,99999.0,2013.0,72899,Automat,250 - 599,1,0,0,"Zürcherstrasse, 42, 5330 Bad Zurzach",47.5765380859375,8.314477920532227
276,1704382718-346,SKODA,Kodiaq 2.0 TDI CR Style 4x4 DSG,200.0,6700.0,2022.0,45800,Automat,0 - 249,0,1,0,"Feldmoosstrasse 8, 8853 Lachen",47.19048309326172,8.864253997802734
277,1704382720-347,MINI,Cooper John Cooper Works Steptronic,231.0,4500.0,2023.0,47500,Automat,0 - 249,1,0,0,"Chemin de la Longivue 1, 1726 Farvagny-le-Grand",46.72317886352539,7.083887100219727
278,1704382723-348,MINI,Cooper Steptronic,136.0,36452.0,2015.0,16800,Automat,0 - 249,1,0,0,"Grossrietstrasse 17, 8606 Nänikon",47.37480545043945,8.67831802368164
279,1704382725-349,MERCEDES-BENZ,GLB 250 4Matic AMG Line 8G-Tronic,224.0,28000.0,2021.0,45900,Automat,0 - 249,1,0,0,"Route d Italie 37, 1950 Sion",46.24650955200195,7.388760566711426
280,1704382728-350,VW,Amarok 3.0TDI Aventura Winter 1,240.0,4700.0,2023.0,65500,Automat,0 - 249,0,1,0,"Feldmoosstrasse 8, 8853 Lachen",47.19048309326172,8.864253997802734
281,1704382733-351,VW,Golf 1.6 TDI Comfortline,110.0,84700.0,2017.0,15800,Manuell,0 - 249,0,1,0,"Grossrietstrasse 17, 8606 Nänikon",47.37480545043945,8.67831802368164
282,1704382736-352,AUDI,A3 Sportback 1.4 TFSI Attraction,122.0,132000.0,2013.0,11900,Manuell,0 - 249,1,0,0,"Gewerbehallenstrasse 4, 8304 Wallisellen (ZH)",47.413848876953125,8.575328826904297
283,1704382738-353,OPEL,Mokka 1.2 Direct Injection Turbo GS Line Aut.,130.0,13600.0,2022.0,23900,Automat,0 - 249,1,0,0,"Aarauerstrasse. 30, 5600 Lenzburg",47.387428283691406,8.168038368225098
284,1704382741-354,PORSCHE,Macan PDK,245.0,11500.0,2021.0,69999,Automat,0 - 249,1,0,0,"Bernstrasse 27, 4665 Oftringen",47.30928039550781,7.911998271942139
285,1704382743-355,MERCEDES-BENZ,GLE 350 d Executive 4Matic 9G-Tronic,258.0,168000.0,2017.0,33900,Automat,250 - 599,0,1,0,"Route de Genève 9c, 1033 Cheseaux-Lausanne",46.581912994384766,6.601833820343018
287,1704382748-357,FORD,Transit Custom Van 300 L2H1 Trend,105.0,31300.0,2018.0,27900,Manuell,0 - 249,0,1,0,"Gösgerstrasse 15, 4652 Winznau",47.36409378051758,7.938604831695557
288,1704382751-358,SKODA,Octavia Combi 2.0 TSI RS DSG,230.0,159500.0,2018.0,18750,Automat,0 - 249,1,0,0,"Dickistrasse 8, 8215 Hallau",47.69219970703125,8.467259407043457
291,1704382761-361,VW,Polo 1.0 TSI BMT Comfortline DSG,95.0,134000.0,2019.0,11900,Automat,0 - 249,1,0,0,"Arbonerstrasse 8, 8590 Romanshorn",47.564334869384766,9.365785598754885
293,1704382767-363,VW,Golf 2.0 TSI R 4Motion DSG,301.0,189500.0,2014.0,17950,Automat,250 - 599,1,0,0,"St.Gallerstrasse 44, 9300 Wittenbach",47.45486068725586,9.39901351928711
294,1704382769-364,LAND,Range Rover Sport 5.0 V8 S/C SVR Automatic,575.0,35800.0,2019.0,104800,Automat,250 - 599,1,0,0,"Obere Schwandenstrasse 2, 8833 Samstagern",47.20139694213867,8.685839653015137
298,1704382780-368,MERCEDES-BENZ,GLA 200 Night Star,156.0,53000.0,2019.0,28600,Automat,0 - 249,1,0,0,"Bahnhofstrasse 7, 8305 Dietlikon",47.413673400878906,8.616289138793945
299,1704382782-369,JEEP,Grand Cherokee 3.0 CRD Limited Automatic,250.0,95000.0,2019.0,33900,Automat,0 - 249,0,1,0,"Fürstenlandstrasse 25, 9000 St. Gallen",47.41446685791016,9.351840019226074
305,1704382805-377,PORSCHE,718 Boxster Spyder,400.0,14000.0,2021.0,98500,Manuell,250 - 599,1,0,0,"Blegistrasse 7, 6343 Rotkreuz",47.14921951293945,8.437192916870117
307,1704382820-381,CITROEN,Jumpy 2.0 HDi L1H1 Attraction,128.0,73700.0,2013.0,14499,Manuell,0 - 249,0,1,0,"Werkhofstrasse 1, 8360 Eschlikon TG",47.46231842041016,8.952805519104004
308,1704382822-382,MERCEDES-BENZ,CLA Shooting Brake 180 7G-DCT Progressive,136.0,28900.0,2021.0,33500,Automat,0 - 249,1,0,0,"Rue centrale 2, 1845 Noville",46.38693618774414,6.921760082244873
310,1704382829-385,CITROEN,Spacetourer 2.0 BlueHDi Business Lounge M EAT,177.0,47000.0,2021.0,38000,Automat,0 - 249,0,1,0,"Bahnhofstrasse 160, 6423 Seewen/SZ",47.02820587158203,8.631423950195312
311,1704382837-388,HYUNDAI,Kona 1.6 T-GDi Vertex 4WD DCT,177.0,76200.0,2019.0,21900,Automat,0 - 249,1,0,0,"Kirchbergstrasse 207, 3400 Burgdorf",47.06707763671875,7.604896545410156
312,1704382839-389,AUDI,Q4 e-tron 50 quattro,299.0,34500.0,2021.0,59900,Automat,250 - 599,0,0,1,"Avenue de Bellevaux 11, 2000 Neuchâtel",46.99888229370117,6.945072174072266
316,1704382861-396,RENAULT,Master T35 2.3dCi 130 L3H2,130.0,60500.0,2018.0,18500,Manuell,0 - 249,0,1,0,"St. Gallerstrasse 1, 8589 Sitterdorf",47.50647735595703,9.25190544128418
317,1704382864-397,MERCEDES-BENZ,CLS Shooting Brake 63 AMG S 4Matic Speedshift MCT,585.0,147500.0,2014.0,37500,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
318,1704382871-400,ASTON,V8 Vantage 4.7 S,437.0,11000.0,2017.0,98500,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
320,1704382879-402,VW,T-Cross 1.0 TSI Life DSG,110.0,39377.0,2022.0,23980,Automat,0 - 249,1,0,0,"Elsihof 1, 6035 Perlen",47.10655975341797,8.353533744812012
326,1704382899-410,BMW,840d xDrive Steptronic,320.0,17500.0,2018.0,69980,Automat,250 - 599,0,1,0,"Route de Corbaroche 20, 1723  Marly",46.77054977416992,7.163113594055176
328,1704382908-412,MERCEDES-BENZ,AMG GT C Roadster Edition 50 Speedshift DCT,558.0,8500.0,2018.0,129800,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
329,1704382910-413,MERCEDES-BENZ,CLA Shooting Brake 180 Urban 7G-DCT,122.0,81900.0,2018.0,21900,Automat,0 - 249,1,0,0,"Rue centrale 2, 1845 Noville",46.38693618774414,6.921760082244873
330,1704382913-414,AUDI,A4 allroad 2.0 TFSI quattro S-tronic,252.0,76500.0,2018.0,39900,Automat,250 - 599,1,0,0,"Avenue de Bellevaux 11, 2000 Neuchâtel",46.99888229370117,6.945072174072266
331,1704382915-415,BMW,X5 xDrive M50d Steptronic,381.0,134000.0,2014.0,36800,Automat,250 - 599,0,1,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
332,1704382918-416,OPEL,Vectra 1.8i 16V Senso-Tec,125.0,40700.0,2001.0,4800,Manuell,0 - 249,1,0,0,"Grossrietstrasse 17, 8606 Nänikon",47.37480545043945,8.67831802368164
334,1704382923-418,BMW,M4 Cabriolet DKG,431.0,19800.0,2014.0,64900,Automat,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
335,1704382925-419,VW,Passat Variant 2.0 TDI BMT Comfortline 4M,140.0,234000.0,2011.0,7700,Manuell,0 - 249,0,1,0,"Plong Muling 30, 7013 Domat/Ems",46.838653564453125,9.463361740112305
336,1704382933-421,AUDI,80 Avant RS2,315.0,48000.0,1994.0,99500,Manuell,250 - 599,1,0,0,"Bernstrasse West 60, 5034 Suhr",47.36955261230469,8.078812599182129
337,1704382936-422,AUDI,TTS Coupé 2.0 TFSI quattro S-tronic,310.0,69500.0,2015.0,39900,Automat,250 - 599,1,0,0,"Avenue de Bellevaux 11, 2000 Neuchâtel",46.99888229370117,6.945072174072266
339,1704382941-424,MERCEDES-BENZ,C 250 d Swiss Star Avantgarde 4Matic 9G-Tronic,204.0,73900.0,2017.0,27900,Automat,0 - 249,0,1,0,"Rue centrale 2, 1845 Noville",46.38693618774414,6.921760082244873
341,1704382946-426,MERCEDES-BENZ,A 180 AMG Line,136.0,39900.0,2021.0,29900,Manuell,0 - 249,1,0,0,"Rue centrale 2, 1845 Noville",46.38693618774414,6.921760082244873
342,1704382949-427,CITROEN,C4 1.2 Pure Tech Shine,131.0,69900.0,2017.0,11900,Manuell,0 - 249,1,0,0,"alla Bolla 20, 6595 Riazzino",46.17629623413086,8.885866165161133
343,1704382954-429,AUDI,Q5 Sportback 45 TFSI Black Edition quattro S-troni,265.0,37500.0,2021.0,66900,Automat,250 - 599,1,0,0,"Avenue de Bellevaux 11, 2000 Neuchâtel",46.99888229370117,6.945072174072266
344,1704382956-430,SUZUKI,Swift 1.2i 16V Sergio Cellano,90.0,93000.0,2017.0,9600,Manuell,0 - 249,1,0,0,"St.Gallerstrasse 36, 8716 Schmerikon",47.22723007202149,8.956616401672363
347,1704382967-433,VOLVO,V60 D4 AWD Momentum Geartronic,163.0,230000.0,2013.0,8500,Automat,0 - 249,0,1,0,"Hauptstrasse 82, 4943 Oeschenbach",47.10765075683594,7.749866485595703
354,1704382985-440,MINI,Cooper S Steptronic DKG,192.0,49200.0,2019.0,23900,Automat,0 - 249,1,0,0,"Fluhmühle 9, 6015 Luzern",47.05766296386719,8.285466194152832
356,1704382993-442,HYUNDAI,i10 1.2 Style,78.0,216000.0,2011.0,1400,Manuell,0 - 249,1,0,0,"Zürichstrasse 47, 8607 Aathal-Seegräben",47.33797836303711,8.763263702392578
358,1704383000-445,MITSUBISHI,ASX,110.0,142000.0,2012.0,7400,Manuell,0 - 249,0,1,0,"Luzernerstrasse 36, 5620 Bremgarten",47.34527206420898,8.337627410888672
359,1704383003-446,BMW,125i Sport Line Steptronic,218.0,44500.0,2013.0,22500,Automat,0 - 249,1,0,0,"Via Pascolo 5A, 6612 Ascona",46.16028594970703,8.777206420898438
362,1704383011-449,AUDI,A1 Sportback 1.4 TFSI Design S-tronic,150.0,88000.0,2016.0,16900,Automat,0 - 249,1,0,0,"Rue des metiers 1, 1008 Prilly",46.53355407714844,6.60662841796875
363,1704383013-450,JEEP,Wrangler 4.0 Laredo A ABS,184.0,276000.0,1995.0,13952,Automat,0 - 249,1,0,0,"Rickenbachstrasse 46, 6430 Schwyz",47.02184295654297,8.658909797668457
364,1704383019-451,CITROEN,C3 1.2i PureTech Swiss Edition EAT6,110.0,21500.0,2022.0,18500,Automat,0 - 249,1,0,0,"Pré du Pont 109, 1868 Collombey",46.26795959472656,6.952877521514893
366,1704383024-453,VW,Passat Variant 2.0 TDI SCR BMT Highline DSG,190.0,125000.0,2015.0,17900,Automat,0 - 249,0,1,0,"Breitestrasse 16, 9532 Rickenbach b. Wil",47.44630432128906,9.051247596740724
367,1704383026-454,OPEL,Mokka 1.2 Direct Injection Turbo GS Line Aut.,130.0,20400.0,2022.0,23900,Automat,0 - 249,1,0,0,"Aarauerstrasse. 30, 5600 Lenzburg",47.387428283691406,8.168038368225098
368,1704383031-456,MERCEDES-BENZ,GLC 250 d 4Matic 9G-Tronic,204.0,139900.0,2016.0,27900,Automat,0 - 249,0,1,0,"Dorfmattenstrasse 2, 5612 Villmergen",47.34615707397461,8.250041961669922
369,1704383034-457,CITROEN,C3 1.2i Séduction,82.0,121609.0,2013.0,4900,Manuell,0 - 249,1,0,0,"Solothurnstrasse 40, 2544 Bettlach",47.19814682006836,7.43035364151001
374,1704383049-462,AUDI,A1 Sportback 1.4 TFSI S-tronic,125.0,96500.0,2018.0,13990,Automat,0 - 249,1,0,0,"Gurzelenstrasse 2, 4512 Bellach",47.21105194091797,7.50578498840332
375,1704383052-463,VW,Polo 1.6 TDI BMT Comfortline,90.0,176429.0,2009.0,5900,Manuell,0 - 249,0,1,0,"Route du Simplon 32, 1852 Roche VD",46.3544807434082,6.932366371154785
382,1704383069-470,FORD,S-Max 2.0i Ambiente,145.0,222000.0,2008.0,3999,Manuell,0 - 249,1,0,0,"Gewerbehallenstrasse 4, 8304 Wallisellen (ZH)",47.413848876953125,8.575328826904297
383,1704383075-471,OPEL,Mokka 1.2 Direct Injection Turbo GS Line Aut.,130.0,26400.0,2022.0,23900,Automat,0 - 249,1,0,0,"Aarauerstrasse. 30, 5600 Lenzburg",47.387428283691406,8.168038368225098
386,1704383082-474,OPEL,Astra Caravan 1.8i 16V Cosmo,125.0,234000.0,2005.0,1800,Automat,0 - 249,1,0,0,"Äussere Luzernerstrasse 16, 4665 Oftringen",47.29842376708984,7.934136867523193
388,1704383087-476,VW,Lupo 60 ABS,60.0,141170.0,2002.0,499,Manuell,0 - 249,1,0,0,"Bodackerstrasse 14, 8953 Dietikon",47.412235260009766,8.38632869720459
392,1704383105-482,CITROEN,C5 Berline 2.7 HDi V6 Dynamique+ Automatic,204.0,231241.0,2008.0,2399,Automat,0 - 249,0,1,0,"Bodackerstrasse 14, 8953 Dietikon",47.412235260009766,8.38632869720459
393,1704383110-484,PEUGEOT,308 1.6 THP Allure,156.0,212000.0,2014.0,4950,Manuell,0 - 249,1,0,0,"Baarerstrasse 60, 8932 Mettmenstetten (ZH)",47.225128173828125,8.48512077331543
394,1704383112-485,SUZUKI,Swift 1.2i 16V PizSulai 4x4,90.0,108155.0,2016.0,10898,Manuell,0 - 249,1,0,0,"Färzbach 41d, 6197 Schangnau",46.82731246948242,7.859797477722168
395,1704383115-486,ISUZU,D-MAX 1.9 SpaceCab N60FF 4x4 AT,164.0,35000.0,2021.0,34900,Automat,0 - 249,0,1,0,"Bahnhofstrasse 18 5242 Lupfig, 5242 Lupfig",47.441707611083984,8.20689868927002
396,1704383117-487,MERCEDES-BENZ,C 180 Kompressor Avantgarde,143.0,181212.0,2006.0,3599,Automat,0 - 249,1,0,0,"Bodackerstrasse 14, 8953 Dietikon",47.412235260009766,8.38632869720459
398,1704383125-490,SEAT,Ateca 2.0 TDI CR SWISS Xcellence 4Drive DSG,150.0,116800.0,2019.0,20950,Automat,0 - 249,0,1,0,"Oberneuhofstrasse 13, 6340 Baar",47.1868896484375,8.516530990600586
399,1704383131-491,PEUGEOT,1007 1.6 Sport(y) 2-Tronic,110.0,110000.0,2005.0,3500,Automat,0 - 249,1,0,0,"Im Grund 15, 5405 Dättwil",47.45159530639648,8.290854454040527
400,1704383133-492,SUZUKI,SX4 1.6 16V Compact Top 2WD,120.0,84000.0,2015.0,9900,Manuell,0 - 249,1,0,0,"Via San Gottardo 120, 6500 Bellinzona",46.20896911621094,9.038769721984863
401,1704383136-493,VW,T4 2.4D syncro,78.0,250000.0,1995.0,4500,Manuell,0 - 249,0,1,0,"Route d'Oron 102, 1000 Lausanne",46.536659240722656,6.678225517272949
402,1704383138-494,SKODA,Octavia Combi 1.6 TDI Ambition DSG,115.0,145000.0,2018.0,10900,Automat,0 - 249,0,1,0,"Rte de la Serbache 6, 1634 La Roche FR",46.704044342041016,7.149051666259766
403,1704383141-495,OPEL,Corsa 1.4 TP Silverline,90.0,157800.0,2006.0,2980,Manuell,0 - 249,1,0,0,"Wilerstrasse 35, 9554 Tägerschen",47.50598907470703,9.029154777526855
405,1704383146-497,SUBARU,Legacy 2.5 Limited,156.0,193000.0,1999.0,1500,Automat,0 - 249,1,0,0,"Im Grund 15, 5405 Dättwil",47.45159530639648,8.290854454040527
408,1704383153-500,AUDI,A4 Avant 2.0 TDI multitronic,177.0,167500.0,2012.0,8900,Automat,0 - 249,0,1,0,"Münigen 1, 6208 Oberkirch",47.16361999511719,8.109768867492676
409,1704383159-501,HYUNDAI,i30 1.6 CRDi Vertex,136.0,62000.0,2016.0,14900,Manuell,0 - 249,0,1,0,"Bahnhofstrasse 5, 9308 Lömmenschwil",47.50289916992188,9.357492446899414
410,1704383162-502,AUDI,A4 Avant 2.0 TFSI quattro s-tronic,211.0,187800.0,2013.0,11900,Automat,0 - 249,1,0,0,"ALTHARDSTR 302, 8105 REGENSDORF",47.44624328613281,8.459880828857422
411,1704383167-504,PEUGEOT,807 2.0 16V (SR) Family,140.0,95000.0,2007.0,7900,Manuell,0 - 249,1,0,0,"Pfeidstrasse 31, 2555 Brügg",47.12133407592773,7.275235176086426
412,1704383169-505,VW,Caddy 1.4 TSI Family DSG,125.0,50240.0,2017.0,19900,Automat,0 - 249,1,0,0,"Buholzstrasse 40, 6032 Emmen",47.0927734375,8.318682670593262
413,1704383172-506,PEUGEOT,307 CC 2.0 16V,136.0,228000.0,2004.0,500,Manuell,0 - 249,1,0,0,"Bernstrasse 13A, 3114 Wichtrach",46.84539413452149,7.576281547546387
414,1704383174-507,LAND,Range Rover Evoque 2.0 TD4 SE Dynamic,180.0,91000.0,2016.0,23900,Manuell,0 - 249,0,1,0,"Äussere Luzernerstrasse 7, 4665 Oftringen",47.30267333984375,7.932472705841064
416,1704383179-509,FIAT,Panda 1.1 City,54.0,133000.0,2005.0,600,Manuell,0 - 249,1,0,0,"Bernstrasse 13A, 3114 Wichtrach",46.84539413452149,7.576281547546387
417,1704383182-510,SKODA,Octavia Combi 1.8 TSI Arosa 4x4,160.0,160000.0,2011.0,5900,Manuell,0 - 249,1,0,0,"Schrotmättli 4, 6014 Luzern",47.046756744384766,8.25660228729248
419,1704383190-512,MERCEDES-BENZ,ML 320 CDI 4Matic 7G-Tronic,224.0,274000.0,2006.0,5200,Automat,0 - 249,0,1,0,"Chemin des Tilleuls 1A, 1563 Dompierre",46.8538932800293,6.992538928985596
420,1704383193-513,BMW,X3 xDrive 30d xLine Steptronic,258.0,78870.0,2016.0,16900,Automat,250 - 599,0,1,0,"Althardstrasse 302, 8105 Regensdorf",47.44624328613281,8.459880828857422
421,1704383195-514,AUDI,A1 Sportback 30 TFSI S Line S-tronic,115.0,110000.0,2018.0,17990,Automat,0 - 249,1,0,0,"Hauptstrasse 50, 1796 Courgevaux",46.9096794128418,7.110177993774414
422,1704383198-515,SUBARU,WRX 2.5 Turbo 4WD STI Sport S,301.0,107000.0,2016.0,23900,Manuell,250 - 599,1,0,0,"Bernstrasse 5, 3365 Seeberg",47.157039642333984,7.662407875061035
423,1704383200-516,BMW,550i,367.0,186000.0,2006.0,6599,Automat,250 - 599,1,0,0,"Widenholzstrasse 11, 8304 Wallisellen",47.4105339050293,8.614249229431152
427,1704383216-521,RENAULT,Koleos 2.0 dCi Initiale Paris 4WD Xtronic CVT,184.0,100.0,2023.0,38900,Automat,0 - 249,0,1,0,"Horwerstrasse 120, 6010 Kriens",47.02512741088867,8.301193237304688
428,1704383218-522,SEAT,Ibiza SC 1.4 TSI Cupra DSG,180.0,174000.0,2011.0,3999,Automat,0 - 249,1,0,0,"Widenholzstrasse 11, 8304 Wallisellen",47.4105339050293,8.614249229431152
432,1704383231-527,VW,Polo 1.4 TSI BlueGT,140.0,131000.0,2013.0,10800,Manuell,0 - 249,1,0,0,"Dickistrasse 8, 8215 Hallau",47.69219970703125,8.467259407043457
434,1704383238-530,MAZDA,6 2.3 16V Sport,166.0,214000.0,2004.0,2900,Manuell,0 - 249,1,0,0,"Herferswil 60, 8932 Mettmenstetten",47.25375747680664,8.489367485046387
435,1704383244-531,AUDI,Q3 Sportback 45 TFSI S line quattro S-tronic,230.0,106900.0,2019.0,33900,Automat,0 - 249,1,0,0,"Breitestrasse 16, 9532 Rickenbach b. Wil",47.44630432128906,9.051247596740724
436,1704383247-532,CITROEN,C3 Picasso 1.6i 16V Exclusive,120.0,53000.0,2014.0,5900,Manuell,0 - 249,1,0,0,"Via San Gottardo 120, 6500 Bellinzona",46.20896911621094,9.038769721984863
438,1704383253-534,FORD,Transit Custom Van 290 L1H1 Ambiente,125.0,203400.0,2017.0,6990,Manuell,0 - 249,0,1,0,"Mühlentalstrasse 261, 8200 Schaffhausen",47.71406173706055,8.63126277923584
442,1704383263-538,OPEL,Mokka 1.2 Direct Injection Turbo GS Line Aut.,130.0,27600.0,2022.0,23900,Automat,0 - 249,1,0,0,"Aarauerstrasse. 30, 5600 Lenzburg",47.387428283691406,8.168038368225098
447,1704383289-547,SUBARU,Forester 2.0 Cool Plus,125.0,215000.0,2002.0,3500,Manuell,0 - 249,1,0,0,"Industriestrasse, 20, 2553 Safnern",47.15618896484375,7.334183692932129
448,1704383291-548,FORD,Kuga 2.0 TDCi Titanium 4WD PowerShift,140.0,151000.0,2012.0,7900,Automat,0 - 249,0,1,0,"Chemin de Champ-Francey 140, 1630 Bulle",46.63027191162109,7.060140609741211
449,1704383294-549,HYUNDAI,i20 1.4 Style Automatic,101.0,88000.0,2012.0,7800,Automat,0 - 249,1,0,0,"Stanserstrasse 107b, 6064 Kerns OW",46.90839767456055,8.291356086730957
450,1704383296-550,BMW,X6 xDrive 50i Steptronic,408.0,173688.0,2013.0,17900,Automat,250 - 599,1,0,0,"Marschalkenstrasse 10, 4132 Muttenz",47.53071212768555,7.65043830871582
453,1704383310-554,MITSUBISHI,Space W 2.4 GLX Edition,147.0,16000.0,2003.0,3500,Manuell,0 - 249,1,0,0,"Leenrütimattweg 5, 4704 Niederbipp",47.28178405761719,7.702002048492432
454,1704383315-556,DAIHATSU,Sirion 1.0 eco-top,69.0,180200.0,2008.0,1999,Manuell,0 - 249,1,0,0,"Leenrütimattweg 5, 4704 Niederbipp",47.28178405761719,7.702002048492432
459,1704383348-568,MITSUBISHI,Lancer Sportback 1.5 Inform,109.0,100000.0,2011.0,6500,Manuell,0 - 249,1,0,0,"Bahnhofstrasse 175, 9244 Niederuzwil",47.44595336914063,9.149778366088867
461,1704383359-571,OPEL,Meriva 1.7 CDTi Cosmo,100.0,98000.0,2011.0,5000,Automat,0 - 249,0,1,0,"Heilbronnerstrasse 9, 4500 Solothurn",47.20845413208008,7.527942657470703
