,web-scraper-order,brand,name_details_raw,ps,km,reg_year,price,gear_type,ps_cat,fuel_type_benzin,fuel_type_diesel,fuel_type_elektro,address,lat,lon
59,1704381939-71,FORD,Kuga 2.0 TDCi Freetech 4WD,150.0,86000.0,2015.0,12000,Manuell,0 - 249,0,1,0,"Eggiwilstrasse 2a, 3535 Schüpbach BE",46.92686080932617,7.734965324401855
60,1704381942-72,PEUGEOT,108 1.0 VTi Access,69.0,60390.0,2016.0,6375,Manuell,0 - 249,1,0,0,"Rue des Voituriers 2, 1217 Meyrin",46.22447967529297,6.080033302307129
65,1704381955-77,FORD,Grand Tourneo Connect 1.6 TDCi Titanium,115.0,218000.0,2014.0,7700,Manuell,0 - 249,0,1,0,"Eggiwilstrasse 2a, 3535 Schüpbach BE",46.92686080932617,7.734965324401855
69,1704381970-82,BMW,X5 3.0d,184.0,230000.0,2003.0,4300,Manuell,0 - 249,0,1,0,"4, chemin des Mésanges, 1032 Romanel-sur-Lausanne",46.568885803222656,6.6036763191223145
71,1704381978-85,RENAULT,Trafic 2.0 Blue dCi 150 Advance L2H1 EN,150.0,4000.0,2022.0,36300,Manuell,0 - 249,0,1,0,"Müntschemiergasse 56, 3232 Ins",47.00428009033203,7.115030765533447
73,1704381983-87,SEAT,Ateca 2.0 TSI FR 4Drive DSG,190.0,96000.0,2019.0,25500,Automat,0 - 249,1,0,0,"Gewerbestrasse 16, 8737 Gommiswald",47.23493194580078,9.017587661743164
76,1704381996-91,SSANG,Korando eMotion Titanium,190.0,50.0,2023.0,41850,Automat,0 - 249,0,0,1,"Schwantelen 376, 9107 Urnäsch",47.30062484741211,9.274094581604004
78,1704382008-96,PEUGEOT,Traveller 2.0 BlueHDi Allure Standard EAT,180.0,60850.0,2018.0,35967,Automat,0 - 249,0,1,0,"Route Suisse 39, 1196 Gland",46.41658020019531,6.280033588409424
79,1704382011-97,SUZUKI,Vitara 1.4 Boosterjet Compact +  Hybrid,129.0,9700.0,2022.0,25300,Manuell,0 - 249,1,0,0,"Zilstrasse 79, 9016 St. Gallen",47.44285202026367,9.412972450256348
80,1704382013-98,SUZUKI,Vitara 1.4 Boosterjet Compact +  Hybrid,129.0,1000.0,2022.0,25900,Manuell,0 - 249,1,0,0,"Zilstrasse 79, 9016 St. Gallen",47.44285202026367,9.412972450256348
81,1704382016-99,TOYOTA,Aygo X 1.0 VVT-i Comfort,72.0,2000.0,2022.0,19900,Automat,0 - 249,1,0,0,"Bahnhofstrasse 175, 9244 Niederuzwil",47.44595336914063,9.149778366088867
82,1704382035-105,VW,Caddy Maxi 2.0 TDI 4Motion,110.0,249400.0,2011.0,8950,Manuell,0 - 249,0,1,0,"Schwantelen 376, 9107 Urnäsch",47.30062484741211,9.274094581604004
84,1704382040-107,VW,e-Up,83.0,68500.0,2021.0,16999,Automat,0 - 249,0,0,1,"Zugerstrasse 2, 6340 Sihlbrugg",47.21701431274414,8.576250076293945
85,1704382042-108,VW,ID.4 75 Edition,204.0,50.0,2023.0,52310,Automat,0 - 249,0,0,1,"St Gallerstrasse 101, 8645 Rapperswil - Jona",47.230255126953125,8.847420692443848
87,1704382047-110,VW,T-Roc 2.0 TSI R 75 EditionDSG 4Motion,300.0,50.0,2023.0,66900,Automat,250 - 599,1,0,0,"St Gallerstrasse 101, 8645 Rapperswil - Jona",47.230255126953125,8.847420692443848
89,1704382055-112,VW,Tiguan 2.0TSI Highline 4Motion DSG,180.0,43800.0,2018.0,32500,Automat,0 - 249,1,0,0,"Apollostrasse 5, 9536 Schwarzenbach",47.44381713867188,9.076166152954102
91,1704382063-115,VW,e-Up,82.0,1100.0,2023.0,30500,Automat,0 - 249,0,0,1,"Birsfelderstrasse 50, 4132 Muttenz",47.53702926635742,7.633534908294678
92,1704382066-116,VW,T-Roc 2.0 TSI R 75 EditionDSG 4Motion,300.0,1100.0,2023.0,61800,Automat,250 - 599,1,0,0,"Schönaustrasse 25, 4058 Basel",47.56775665283203,7.599099159240723
93,1704382068-117,SKODA,Karoq 2.0 TDI CR Style 4x4 DSG,150.0,52200.0,2017.0,28900,Automat,0 - 249,0,1,0,"Via San Gottardo 52, 6877 Coldrerio",45.85777282714844,8.986268997192383
95,1704382073-119,BMW,M2 Drivelogic,370.0,58000.0,2018.0,43500,Automat,250 - 599,1,0,0,"Route de Nyon 8B, 1196 Gland",46.419525146484375,6.266847133636475
97,1704382081-121,MERCEDES-BENZ,GLC 43 AMG 4Matic 9G-Tronic,390.0,33000.0,2019.0,64800,Automat,250 - 599,1,0,0,"Buchbergstrasse 2, 8730 Uznach SG",47.22759246826172,8.96968936920166
103,1704382110-131,AUDI,Q5 45 TFSI sport quattro S-tronic,245.0,59500.0,2019.0,46970,Automat,0 - 249,1,0,0,"Unterseestrasse 81, 8280 Kreuzlingen",47.64966583251953,9.1561279296875
105,1704382117-134,VOLVO,XC40 T5 AWD R-Design Geartronic,248.0,49000.0,2019.0,37400,Automat,0 - 249,1,0,0,"Landstrasse 71, 8750 Glarus",47.04966354370117,9.05980396270752
109,1704382127-138,VW,T6 2.0 TDI DSG,140.0,418000.0,2016.0,16000,Automat,0 - 249,0,1,0,"Pilatusstrasse 5, 6052 Hergiswil",46.98707580566406,8.310431480407715
110,1704382132-140,LAND,Defender 110 D200 SD4 S AT8,200.0,41233.0,2021.0,62800,Automat,0 - 249,0,1,0,"Rengglochstrasse 19, 6012 Kriens-Obernau",47.03510284423828,8.242032051086426
113,1704382145-144,BMW,iX1 xDrive 30 xLine,272.0,900.0,2024.0,65800,"Direktantrieb, kein Getriebe",250 - 599,0,0,1,"Hallmattstrasse 33, 3172 Bern-Niederwangen",46.93063735961914,7.379867076873779
